match_id,batter,runs_batter,balls_faced
335991,VRV Singh,4,2
335991,Yuvraj Singh,18,9
335992,GC Smith,49,42
335992,JH Kallis,11,10
335992,LRPL Taylor,44,20
335992,M Kaif,4,6
335992,M Rawat,0,2
335992,MV Boucher,4,10
335992,P Kumar,34,30
335992,R Dravid,0,1
335992,R Vinay Kumar,1,1
335992,S Chanderpaul,2,9
335992,SB Joshi,3,8
335992,SR Watson,61,41
335992,V Kohli,13,14
335992,YK Pathan,21,12
335992,Z Khan,17,18
335993,AB Agarkar,11,9
335993,BB McCullum,24,12
335993,DJ Hussey,0,2
335993,I Sharma,4,3
335993,LR Shukla,42,33
335993,M Kartik,3,3
335993,ML Hayden,70,49
335993,MS Dhoni,43,27
335993,Mohammad Hafeez,16,24
335993,PA Patel,21,27
335993,RT Ponting,0,1
335993,SC Ganguly,12,19
335993,WP Saha,27,16
335994,AC Gilchrist,109,47
335994,AM Nayar,34,19
335994,AM Rahane,0,7
335994,DJ Bravo,34,18
335994,L Ronchi,13,11
335994,MA Khote,7,10
335994,RV Uthappa,6,5
335994,SM Pollock,31,31
335994,ST Jayasuriya,18,21
335994,VVS Laxman,37,26
335995,B Lee,1,3
335995,DPMD Jayawardene,15,14
335995,G Gambhir,18,14
335995,IK Pathan,10,7
335995,K Goel,1,3
335995,KC Sangakkara,4,2
335995,KD Karthik,24,14
335995,MF Maharoof,18,12
335995,MK Tiwary,39,34
335995,R Bhatia,17,15
335995,S Dhawan,0,3
335995,SM Katich,75,52
335995,Shoaib Malik,19,17
335995,TM Srivastava,7,9
335995,V Sehwag,6,6
335995,VY Mahesh,6,5
335995,Yuvraj Singh,40,29
335996,B Akhil,2,3
335996,B Chipli,8,11
335996,DW Steyn,1,2
335996,JH Kallis,14,10
335996,LRPL Taylor,53,34
335996,MEK Hussey,47,37
335996,ML Hayden,13,19
335996,MS Dhoni,65,30
335996,MV Boucher,4,6
335996,P Kumar,6,5
335996,PA Patel,21,17
335996,R Dravid,0,1
335996,SK Raina,28,17
335996,V Kohli,12,7
335996,W Jaffer,50,33
335996,Z Khan,8,6
335997,AB Agarkar,2,6
335997,AM Rahane,4,10
335997,BB McCullum,1,2
335997,DB Das,29,20
335997,DJ Bravo,64,53
335997,DJ Hussey,17,20
335997,LR Shukla,40,22
335997,M Kartik,10,11
335997,MK Pandey,0,3
335997,Mohammad Hafeez,2,6
335997,RT Ponting,19,31
335997,RV Uthappa,37,37
335997,SC Ganguly,4,2
335997,ST Jayasuriya,18,10
335998,G Gambhir,86,54
335998,JH Kallis,54,44
335998,KD Karthik,2,4
335998,LRPL Taylor,29,15
335998,MK Tiwary,11,9
335998,MV Boucher,31,17
335998,P Kumar,6,5
335998,R Bhatia,8,5
335998,R Dravid,38,30
335998,S Dhawan,50,33
335998,Shoaib Malik,6,4
335998,V Kohli,1,1
335998,V Sehwag,24,12
335998,W Jaffer,10,9
335999,AC Gilchrist,6,6
335999,D Kalyankrishna,3,8
335999,DNT Zoysa,1,2
335999,DPMD Jayawardene,45,23
335999,HH Gibbs,7,9
335999,KC Sangakkara,3,4
335999,RG Sharma,76,42
335999,RP Singh,2,2
335999,RR Sarwan,15,15
335999,SB Bangar,3,8
335999,SE Marsh,84,62
335999,Shahid Afridi,13,7
335999,VVS Laxman,48,34
335999,Y Venugopal Rao,1,2
335999,Yuvraj Singh,14,9
336000,AB Agarkar,20,13
336000,AB Dinda,1,3
336000,BJ Hodge,1,3
