batter,runs_batter,balls_faced,batting_avg
CJ McKay,8,15,0.5333333333333333
CK Kapugedera,16,23,0.6956521739130435
CK Langeveldt,8,9,0.8888888888888888
CL White,971,760,1.2776315789473685
CM Gautam,169,150,1.1266666666666667
CR Brathwaite,181,111,1.6306306306306306
CR Woakes,78,77,1.0129870129870129
CRD Fernando,4,3,1.3333333333333333
CV Varun,26,47,0.5531914893617021
D Brevis,455,297,1.531986531986532
D Ferreira,9,14,0.6428571428571429
D Kalyankrishna,3,8,0.375
D Padikkal,1806,1430,1.2629370629370629
D Pretorius,44,28,1.5714285714285714
D Salunkhe,33,24,1.375
D Wiese,137,93,1.4731182795698925
D du Preez,10,13,0.7692307692307693
DA Miller,3077,2221,1.385411976587123
DA Warner,6548,4692,1.3955669224211424
DAJ Bracewell,12,9,1.3333333333333333
DB Das,304,261,1.1647509578544062
DB Ravi Teja,375,317,1.1829652996845426
DE Bollinger,21,23,0.9130434782608695
DG Nalkande,12,12,1.0
DH Yagnik,170,137,1.2408759124087592
DJ Bravo,1560,1204,1.2956810631229236
DJ Harris,111,101,1.099009900990099
DJ Hooda,1497,1173,1.2762148337595909
DJ Hussey,1322,1075,1.2297674418604652
DJ Jacobs,92,98,0.9387755102040817
DJ Malan,26,26,1.0
DJ Mitchell,351,267,1.3146067415730338
DJ Muthuswami,1,3,0.3333333333333333
DJ Thornely,39,53,0.7358490566037735
DJ Willey,53,62,0.8548387096774194
DJG Sammy,295,241,1.2240663900414939
DJM Short,115,99,1.1616161616161615
DL Chahar,117,84,1.3928571428571428
DL Vettori,121,113,1.0707964601769913
DM Bravo,6,5,1.2
DNT Zoysa,11,9,1.2222222222222223
DP Conway,1080,773,1.3971539456662354
DP Nannes,4,13,0.3076923076923077
DP Vijaykumar,1,1,1.0
DPMD Jayawardene,1808,1464,1.2349726775956285
DR Martyn,19,24,0.7916666666666666
DR Sams,44,44,1.0
DR Shorey,13,17,0.7647058823529411
DR Smith,2385,1764,1.3520408163265305
DS Kulkarni,104,108,0.9629629629629629
DS Lehmann,18,18,1.0
DS Rathi,1,3,0.3333333333333333
DT Christian,460,398,1.1557788944723617
DT Patil,13,13,1.0
DW Steyn,167,160,1.04375
Dhruv Jurel,680,442,1.5384615384615385
E Lewis,654,477,1.371069182389937
EJG Morgan,1406,1148,1.2247386759581882
ER Dwivedi,24,14,1.7142857142857142
F Behardien,14,13,1.0769230769230769
F du Plessis,4770,3507,1.360136869118905
FA Allen,14,19,0.7368421052631579
FH Edwards,4,5,0.8
FY Fazal,183,173,1.0578034682080926
Fazalhaq Farooqi,5,15,0.3333333333333333
G Coetzee,31,33,0.9393939393939394
G Gambhir,4217,3404,1.2388366627497063
GB Hogg,22,22,1.0
GC Smith,739,668,1.1062874251497006
GC Viljoen,3,7,0.42857142857142855
GD McGrath,4,5,0.8
GD Phillips,65,55,1.1818181818181819
GH Vihari,284,321,0.8847352024922118
GHS Garton,2,4,0.5
GJ Bailey,663,544,1.21875
GJ Maxwell,2813,1810,1.5541436464088398
GR Napier,15,16,0.9375
Gulbadin Naib,19,15,1.2666666666666666
Gurkeerat Singh,505,419,1.2052505966587113
H Das,2,5,0.4
H Klaasen,1474,865,1.7040462427745664
HC Brook,190,154,1.2337662337662338
HE van der Dussen,22,24,0.9166666666666666
HF Gurney,1,5,0.2
HH Gibbs,886,807,1.097893432465923
HH Pandya,2758,1876,1.4701492537313432
HM Amla,577,407,1.4176904176904177
HR Shokeen,66,65,1.0153846153846153
HV Patel,264,227,1.1629955947136563
Harbhajan Singh,833,604,1.3791390728476822
Harmeet Singh,18,12,1.5
Harpreet Brar,244,203,1.2019704433497538
Harpreet Singh,123,119,1.0336134453781514
Harshit Rana,59,56,1.0535714285714286
I Malhotra,7,4,1.75
I Sharma,57,69,0.8260869565217391
I Udana,15,11,1.3636363636363635
IC Pandey,0,2,0.0
IK Pathan,1150,950,1.2105263157894737
IR Jaggi,76,97,0.7835051546391752
IS Sodhi,7,17,0.4117647058823529
Imran Tahir,33,37,0.8918918918918919
Iqbal Abdulla,88,84,1.0476190476190477
Ishan Kishan,2998,2178,1.376492194674013
J Arunkumar,23,23,1.0
J Botha,409,359,1.139275766016713
J Fraser-McGurk,385,193,1.994818652849741
J Overton,15,7,2.142857142857143
J Suchith,70,61,1.1475409836065573
J Syed Mohammad,29,26,1.1153846153846154
J Theron,10,12,0.8333333333333334
J Yadav,40,36,1.1111111111111112
JA Morkel,975,687,1.4192139737991267
JA Richardson,17,26,0.6538461538461539
JC Archer,262,178,1.4719101123595506
JC Buttler,4121,2760,1.4931159420289855
JD Ryder,604,458,1.3187772925764192
JD Unadkat,197,166,1.1867469879518073
JDP Oram,106,108,0.9814814814814815
JDS Neesham,92,93,0.989247311827957
JE Root,10,15,0.6666666666666666
JE Taylor,3,3,1.0
JEC Franklin,327,301,1.0863787375415281
JG Bethell,67,39,1.7179487179487178
JH Kallis,2427,2222,1.0922592259225923
JJ Bumrah,68,79,0.8607594936708861
JJ Roy,614,443,1.3860045146726863
JJ van der Wath,18,16,1.125
JL Denly,0,1,0.0
JL Pattinson,15,13,1.1538461538461537
JM Bairstow,1674,1146,1.4607329842931938
JM Kemp,26,24,1.0833333333333333
JM Sharma,991,631,1.5705229793977813
JO Holder,259,211,1.2274881516587677
JP Behrendorff,6,9,0.6666666666666666
JP Duminy,1962,1593,1.231638418079096
JP Faulkner,527,390,1.3512820512820514
JP Inglis,267,165,1.6181818181818182
JPR Scantlebury-Searles,8,6,1.3333333333333333
JR Hazlewood,19,29,0.6551724137931034
JR Hopes,417,306,1.3627450980392157
JR Philippe,78,77,1.0129870129870129
Jaskaran Singh,8,11,0.7272727272727273
Joginder Sharma,36,30,1.2
K Goel,218,231,0.9437229437229437
K Gowtham,246,145,1.696551724137931
K Kartikeya,12,17,0.7058823529411765
K Rabada,215,201,1.0696517412935322
K Upadhyay,12,9,1.3333333333333333
K Yadav,0,4,0.0
KA Jamieson,65,60,1.0833333333333333
KA Maharaj,1,2,0.5
KA Pollard,3437,2329,1.4757406612279949
KAJ Roach,10,9,1.1111111111111112
KB Arun Karthik,51,51,1.0
KC Cariappa,24,21,1.1428571428571428
KC Sangakkara,1687,1392,1.2119252873563218
KD Karthik,4816,3562,1.352049410443571
KH Pandya,1756,1325,1.3252830188679245
KJ Abbott,13,8,1.625
KK Ahmed,2,9,0.2222222222222222
KK Cooper,116,68,1.7058823529411764
KK Nair,1694,1285,1.3182879377431906
KL Nagarkoti,22,33,0.6666666666666666
KL Rahul,5225,3834,1.3628064684402712
KM Asif,0,2,0.0
KM Jadhav,1208,980,1.2326530612244897
KMA Paul,18,24,0.75
KMDN Kulasekara,5,3,1.6666666666666667
KP Appanna,2,4,0.5
KP Pietersen,1001,743,1.3472409152086138
KR Mayers,365,246,1.483739837398374
KR Sen,0,3,0.0
KS Bharat,199,163,1.2208588957055215
KS Rathore,0,5,0.0
KS Sharma,7,9,0.7777777777777778
KS Williamson,2132,1697,1.2563347083087801
KT Maphaka,8,2,4.0
KV Sharma,352,295,1.193220338983051
KW Richardson,36,39,0.9230769230769231
Kamran Akmal,128,78,1.641025641025641
Kamran Khan,3,5,0.6
Karanveer Singh,12,17,0.7058823529411765
Kartik Tyagi,13,16,0.8125
Kuldeep Yadav,201,232,0.8663793103448276
Kumar Kushagra,3,7,0.42857142857142855
L Ablish,0,2,0.0
L Balaji,36,49,0.7346938775510204
L Ngidi,0,2,0.0
L Ronchi,34,34,1.0
L Wood,9,3,3.0
LA Carseldine,81,68,1.1911764705882353
LA Pomersbach,302,246,1.2276422764227641
LB Williams,1,2,0.5
LE Plunkett,1,3,0.3333333333333333
LH Ferguson,72,47,1.5319148936170213
LJ Wright,106,60,1.7666666666666666
LMP Simmons,1079,852,1.266431924882629
LPC Silva,40,26,1.5384615384615385
LR Shukla,405,350,1.1571428571428573
LRPL Taylor,1017,822,1.2372262773722629
LS Livingstone,1040,655,1.5877862595419847
Lalit Yadav,305,290,1.0517241379310345
Liton Das,4,4,1.0
M Ashwin,35,50,0.7
M Jansen,138,122,1.1311475409836065
M Kaif,259,250,1.036
M Kartik,113,108,1.0462962962962963
M Klinger,73,77,0.948051948051948
M Manhas,514,470,1.0936170212765957
M Markande,48,42,1.1428571428571428
M Morkel,126,90,1.4
M Muralitharan,20,30,0.6666666666666666
M Ntini,11,18,0.6111111111111112
M Prasidh Krishna,9,24,0.375
M Rawat,55,69,0.7971014492753623
M Shahrukh Khan,732,491,1.490835030549898
M Theekshana,17,34,0.5
M Tiwari,3,4,0.75
M Vijay,2619,2149,1.2187063750581666
M Vohra,1073,818,1.3117359413202934
M de Lange,1,2,0.5
MA Agarwal,2764,2066,1.3378509196515005
MA Khote,24,22,1.0909090909090908
MA Starc,110,118,0.9322033898305084
MA Wood,12,8,1.5
MC Henriques,1000,788,1.2690355329949239
MC Juneja,125,128,0.9765625
MD Mishra,237,208,1.1394230769230769
MD Shanaka,26,26,1.0
MDKJ Perera,14,13,1.0769230769230769
MEK Hussey,1977,1612,1.2264267990074442
MF Maharoof,177,123,1.4390243902439024
MG Bracewell,58,47,1.2340425531914894
MG Johnson,167,164,1.0182926829268293
MJ Clarke,98,94,1.0425531914893618
MJ Guptill,271,197,1.3756345177664975
MJ Lumb,278,194,1.4329896907216495
MJ McClenaghan,85,70,1.2142857142857142
MJ Owen,0,2,0.0
MJ Santner,110,104,1.0576923076923077
MJ Suthar,1,2,0.5
MK Lomror,527,373,1.4128686327077749
MK Pandey,3951,3248,1.2164408866995073
MK Tiwary,1695,1449,1.1697722567287785
